,d17O,d18O,dD,dX,X17O,,,
38958,0.00957682,0.0173554,0.197755,0.0687427,1.33443,,,
42743,0.0102724,0.0182494,0.201489,0.0729928,1.48654,,,
46896,0.0101171,0.0179457,0.207626,0.0755765,1.48096,,,
51452,0.00935231,0.0164791,0.194324,0.077686,1.48528,,,
56451,0.0097246,0.0162524,0.205613,0.0849895,1.81922,,,
61936,0.00829219,0.0142881,0.189107,0.0893227,1.74141,,,
67953,0.00948004,0.0155697,0.199896,0.0913491,2.23622,,,
74555,0.00768881,0.0135014,0.184299,0.0891774,1.80227,,,
81799,0.00672133,0.0130471,0.207243,0.106611,1.73158,,,
89746,0.00469325,0.0105557,0.192053,0.107607,1.51311,,,
98466,0.00365275,0.00979382,0.177201,0.100671,1.74707,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
