Time,Standard,H2O mean,H2O std,d17O mean,d17O std,d18O mean,d18O std,dD mean,dD std,Ex17 mean,Ex17 std
0.0,SP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,BER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2327247425925965,SP,9007.07009848467,914.9889689657181,-30.176053963686687,0.2165965498564617,-56.493016805723336,0.2001267034299589,-452.03451098436653,0.6476384493470966,0.06326286514618552,0.1606888350122017
2.7045251564814885,BER,10374.847573223327,327.81347664213024,-0.26782756194138385,0.26309605095697075,-1.0540170380401999,0.1915007544050289,-4.74745747987167,0.40480061827663116,0.288926217312281,0.1882150196056322
5.210152964814811,SP,10297.806795583336,30.289572902784293,-30.232689439086663,0.22694703048653037,-56.53543417429662,0.1752999893696717,-452.8161709041999,0.6361592844209151,0.02859618411008503,0.16697260145331536
5.708654077777767,BER,10262.78889289666,60.08726242160587,-0.2445011379722014,0.2663372721330041,-1.0596144341780316,0.20794262676276606,-4.824031658054994,0.5821890606994136,0.3152180463628532,0.18689909217514145
8.204767195370456,SP,10365.750228846662,106.97996140160768,-30.209515353580002,0.23869925655644852,-56.54553395964665,0.16664003371079492,-453.1654163465337,0.340376387228168,0.05814093498707697,0.18339099668835143
8.706152434259325,BER,10243.17545086001,69.9759664035736,-0.24592176874251298,0.2356011663107093,-1.0554756592077332,0.17516788511985906,-4.636040883421669,0.4617377848818858,0.3116138622517377,0.17236278958533488
11.211170007407516,SP,10333.076902249999,159.61886247314058,-30.23764640160333,0.22651715961340607,-56.56095144078998,0.1774035578119574,-452.89853681613323,0.6298791422091835,0.03776565879430002,0.17426970352058269
11.70823636018528,BER,10244.877597046663,52.71631417316018,-0.25318743540830196,0.23624809921144338,-1.0561265645457334,0.1836172362461884,-4.813402786653338,0.4142957094639824,0.3046910693892571,0.1689345289152248
14.21821669537046,SP,10342.831743643339,74.80159506397376,-30.201229686349997,0.2366782526564937,-56.51296177746995,0.17463019036018954,-452.4769261314332,0.3809070866484157,0.04845742524553965,0.17494651579083423
14.719372149074157,BER,10196.169367139993,105.87209221544225,-0.24384022606576677,0.22277948721556806,-1.0749853303201338,0.17189051714974798,-5.095757834131332,0.4128064961435585,0.3240106367742556,0.16195470417831845
17.221192647222356,SP,10233.953937600003,46.19538200982333,-30.17535728449667,0.22114313363457588,-56.43246074052668,0.168871067272579,-451.85421037126673,0.38231086400722925,0.03008980478437301,0.162147021421563
17.72765627129643,BER,10189.189776813335,62.38350704022572,-0.2875266718021433,0.25889756740213726,-1.0992187261665,0.19376156918275078,-5.497171652203337,0.4583124777631332,0.2931151701274866,0.18030925526871647
20.229654154629557,SP,10248.830113493334,83.46919657508207,-30.184986918913328,0.23430586114709248,-56.45454381887665,0.172039402887064,-451.86381544213316,0.3462071064581633,0.032515002223654006,0.17637929971261165
20.72251766296288,BER,10222.836264499989,66.80453504107872,-0.29100614013122617,0.2353512725291438,-1.1611247178299657,0.18670332508186205,-5.846672651055334,0.48469980800143325,0.32236313827576746,0.1681102663917609
23.23772096388849,SP,10213.051989136671,90.16168620827256,-30.132021082399977,0.2441159430834931,-56.41010453718666,0.17531543207142827,-451.4463433369001,0.3684152540516304,0.062258475604302886,0.179701133677282
23.730100475925592,BER,10251.450062928663,58.667114930154405,-0.2930087576527799,0.23211639271464746,-1.1671139839343672,0.1732261323686436,-6.003805168294997,0.4540117433913638,0.3235254282745013,0.16931602935822357
26.245622366666176,SP,10176.27545339333,95.5034160097989,-30.17040262299667,0.23934831619863875,-56.36883700240668,0.2396551666310227,-451.18215354036676,1.169653430758876,-0.00039855610714800314,0.16362201078724709
26.7446709435181,BER,10167.995014213004,73.44645185969038,-0.3183993116980015,0.25724857775666726,-1.1997059827393668,0.2376457287715155,-6.258112908306333,1.058490188196641,0.3153569256659328,0.17790767191354087
29.250777033332653,SP,10169.607816819997,54.94189394043976,-30.148343334403314,0.2551152778136738,-56.34640592091667,0.2220325232293779,-451.03089532803347,0.9596455569098317,0.009789230653128771,0.18134239277219674
29.74246242499927,BER,10156.834013389986,17.13588714031434,-0.30634714127496526,0.2514471812222378,-1.162455032964599,0.1965358622508218,-6.30157611884767,0.5168606678522887,0.307717863939705,0.17982186256013288
32.25340948425821,SP,10181.62309565,34.23263528679932,-30.10122650943331,0.25128781655568777,-56.31374983463673,0.23624736368294375,-450.7904814915996,0.968174953780148,0.040100825094633766,0.16895521113598652
32.75193503333232,BER,10159.557103286663,85.8805311871457,-0.3308482626037231,0.25935142530182353,-1.2281163210721333,0.2080590575762035,-6.549678868075662,0.8065200094455903,0.3179187990336185,0.17935722466818813
35.25175593240608,SP,10168.624118176675,76.92019020770171,-30.124770052096675,0.24605200223522805,-56.352954846726654,0.18511772614741695,-450.7268904066998,0.4646946083992324,0.03775729215101852,0.1821464125549827
35.752841605554224,BER,10123.861702810005,24.539475571033485,-0.38241342404155404,0.23103727757022322,-1.2362157927768,0.1817394912677029,-6.502890650811658,0.5057181476091896,0.2706212530997105,0.1636599704747623
38.25505986666541,SP,10141.262044776005,64.45047520080402,-30.11058911132665,0.22822488088852,-56.29837412757999,0.16470059813111576,-450.5224953927667,0.4284002726320821,0.02184222495942717,0.17780766691260216
38.76131201573945,BER,10106.294811576656,39.01616027109531,-0.415807463978729,0.2736835229857381,-1.3238733367678004,0.24939741353129904,-7.27223030719267,1.0336398615920268,0.28355334487789546,0.1838299660569877
